"","setdiff(Orig$V1, remain$V1)"
"710","testassemblies2191"
"711","testassemblies2192"
"712","testassemblies2193"
"713","testassemblies2194"
"714","testassemblies2195"
"715","testassemblies2199"
"716","testassemblies2201"
"717","testassemblies2202"
"718","testassemblies2203"
"719","testassemblies2204"
"720","testassemblies2205"
"721","testassemblies2211"
"722","testassemblies2212"
"723","testassemblies2213"
"724","testassemblies2214"
"725","testassemblies2215"
"726","testassemblies2216"
"727","testassemblies2217"
"728","testassemblies2220"
"729","testassemblies2221"
"730","testassemblies2224"
"731","testassemblies2225"
"732","testassemblies2226"
"733","testassemblies2227"
"734","testassemblies2228"
"735","testassemblies2231"
"736","testassemblies2232"
"737","testassemblies2233"
"738","testassemblies2234"
"739","testassemblies2235"
"740","testassemblies2236"
"741","testassemblies2237"
"742","testassemblies2240"
"743","testassemblies2241"
"744","testassemblies2242"
"745","testassemblies2243"
"746","testassemblies2244"
"747","testassemblies2245"
"748","testassemblies2246"
"749","testassemblies2247"
"750","testassemblies2248"
"751","testassemblies2249"
"752","testassemblies2250"
"753","testassemblies2251"
"754","testassemblies2252"
"755","testassemblies2257"
"756","testassemblies2258"
"757","testassemblies2259"
"758","testassemblies2260"
"759","testassemblies2261"
"760","testassemblies2262"
"761","testassemblies2263"
"762","testassemblies2264"
"763","testassemblies2265"
"764","testassemblies2266"
"765","testassemblies2267"
"766","testassemblies2268"
"767","testassemblies2269"
"768","testassemblies2270"
"769","testassemblies2271"
"770","testassemblies2273"
"771","testassemblies2275"
"772","testassemblies2276"
"773","testassemblies2277"
"774","testassemblies2278"
"775","testassemblies2279"
"776","testassemblies2280"
"777","testassemblies2281"
"778","testassemblies2282"
"779","testassemblies2285"
"780","testassemblies2286"
"781","testassemblies2287"
"782","testassemblies2288"
"783","testassemblies2289"
"784","testassemblies2290"
"785","testassemblies2291"
"786","testassemblies2292"
"787","testassemblies2293"
"788","testassemblies2294"
"789","testassemblies2295"
"790","testassemblies2296"
"791","testassemblies2298"
"792","testassemblies2299"
"793","testassemblies2300"
"794","testassemblies2301"
"795","testassemblies2302"
"796","testassemblies2303"
"797","testassemblies2304"
"798","testassemblies2305"
"799","testassemblies2306"
"800","testassemblies2307"
"801","testassemblies2318"
"802","testassemblies2322"
"803","testassemblies2323"
"804","testassemblies2324"
"805","testassemblies2327"
"806","testassemblies2328"
"807","testassemblies2329"
"808","testassemblies2330"
"809","testassemblies2332"
"810","testassemblies2333"
"811","testassemblies2334"
"812","testassemblies2335"
"813","testassemblies2336"
"814","testassemblies2337"
"815","testassemblies2342"
"816","testassemblies2345"
"817","testassemblies2346"
"818","testassemblies2348"
"819","testassemblies2349"
"820","testassemblies2351"
"821","testassemblies2353"
"822","testassemblies2354"
"823","testassemblies2355"
"824","testassemblies2356"
"825","testassemblies2357"
"826","testassemblies2358"
"827","testassemblies2359"
"828","testassemblies2360"
"829","testassemblies2361"
"830","testassemblies2362"
"831","testassemblies2363"
"832","testassemblies2364"
"833","testassemblies2366"
"834","testassemblies2367"
"835","testassemblies2368"
"836","testassemblies2369"
"837","testassemblies2372"
"838","testassemblies2373"
"839","testassemblies2374"
"840","testassemblies2375"
"841","testassemblies2376"
"842","testassemblies2377"
"843","testassemblies2378"
"844","testassemblies2384"
"845","testassemblies2385"
"846","testassemblies2386"
"847","testassemblies2387"
"848","testassemblies2388"
"849","testassemblies2389"
"850","testassemblies2391"
"851","testassemblies2392"
"852","testassemblies2393"
"853","testassemblies2394"
"854","testassemblies2395"
"855","testassemblies2396"
"856","testassemblies2400"
"857","testassemblies2401"
"858","testassemblies2402"
"859","testassemblies2403"
"860","testassemblies2404"
"861","testassemblies2405"
"862","testassemblies2406"
"863","testassemblies2407"
"864","testassemblies2408"
"865","testassemblies2409"
"866","testassemblies2410"
"867","testassemblies2411"
"868","testassemblies2412"
"869","testassemblies2413"
"870","testassemblies2414"
"871","testassemblies2415"
"872","testassemblies2416"
"873","testassemblies2417"
"874","testassemblies2418"
"875","testassemblies2419"
"876","testassemblies2420"
"877","testassemblies2421"
"878","testassemblies2422"
"879","testassemblies2423"
"880","testassemblies2424"
"881","testassemblies2425"
"882","testassemblies2426"
"883","testassemblies2427"
"884","testassemblies2428"
"885","testassemblies2429"
"886","testassemblies2430"
"887","testassemblies2431"
"888","testassemblies2432"
"889","testassemblies2433"
"890","testassemblies2434"
"891","testassemblies2435"
"892","testassemblies2436"
"893","testassemblies2437"
"894","testassemblies2438"
"895","testassemblies2439"
"896","testassemblies2440"
"897","testassemblies2441"
"898","testassemblies2442"
"899","testassemblies2443"
"900","testassemblies2444"
"901","testassemblies2445"
"902","testassemblies2446"
"903","testassemblies2447"
"904","testassemblies2448"
"905","testassemblies2449"
"906","testassemblies2450"
"907","testassemblies2451"
"908","testassemblies2452"
"909","testassemblies2459"
"910","testassemblies2465"
"911","testassemblies2466"
"912","testassemblies2467"
"913","testassemblies2468"
"914","testassemblies2471"
"915","testassemblies2477"
"916","testassemblies2478"
"917","testassemblies2479"
"918","testassemblies2480"
"919","testassemblies2481"
"920","testassemblies2482"
"921","testassemblies2483"
"922","testassemblies2484"
"923","testassemblies2485"
